order_delivered_customer_date,total_orders,lag_1,month
2016-10-23,61,57.0,10
2016-10-30,69,61.0,10
2016-11-06,39,69.0,11
2016-11-13,21,39.0,11
2016-11-20,14,21.0,11
2016-11-27,5,14.0,11
2016-12-04,2,5.0,12
2016-12-11,0,2.0,12
2016-12-18,3,0.0,12
2016-12-25,0,3.0,12
2017-01-01,1,0.0,1
2017-01-08,0,1.0,1
2017-01-15,9,0.0,1
2017-01-22,62,9.0,1
2017-01-29,118,62.0,1
2017-02-05,207,118.0,2
2017-02-12,354,207.0,2
2017-02-19,466,354.0,2
2017-02-26,417,466.0,2
2017-03-05,263,417.0,3
2017-03-12,429,263.0,3
2017-03-19,535,429.0,3
2017-03-26,577,535.0,3
2017-04-02,597,577.0,4
2017-04-09,562,597.0,4
2017-04-16,479,562.0,4
2017-04-23,558,479.0,4
2017-04-30,232,558.0,4
2017-05-07,520,232.0,5
2017-05-14,752,520.0,5
2017-05-21,938,752.0,5
2017-05-28,1027,938.0,5
2017-06-04,837,1027.0,6
2017-06-11,721,837.0,6
2017-06-18,628,721.0,6
2017-06-25,837,628.0,6
2017-07-02,747,837.0,7
2017-07-09,693,747.0,7
2017-07-16,735,693.0,7
2017-07-23,820,735.0,7
2017-07-30,976,820.0,7
2017-08-06,940,976.0,8
2017-08-13,938,940.0,8
2017-08-20,880,938.0,8
2017-08-27,1023,880.0,8
2017-09-03,909,1023.0,9
2017-09-10,752,909.0,9
2017-09-17,1048,752.0,9
2017-09-24,1049,1048.0,9
2017-10-01,965,1049.0,10
2017-10-08,926,965.0,10
2017-10-15,908,926.0,10
2017-10-22,1093,908.0,10
2017-10-29,1135,1093.0,10
2017-11-05,863,1135.0,11
2017-11-12,958,863.0,11
2017-11-19,872,958.0,11
2017-11-26,1301,872.0,11
2017-12-03,1534,1301.0,12
2017-12-10,1740,1534.0,12
2017-12-17,1850,1740.0,12
2017-12-24,1815,1850.0,12
2017-12-31,1335,1815.0,12
2018-01-07,1043,1335.0,1
2018-01-14,1493,1043.0,1
2018-01-21,1373,1493.0,1
2018-01-28,1709,1373.0,1
2018-02-04,1662,1709.0,2
2018-02-11,1392,1662.0,2
2018-02-18,1156,1392.0,2
2018-02-25,1696,1156.0,2
2018-03-04,1555,1696.0,3
2018-03-11,1567,1555.0,3
2018-03-18,1483,1567.0,3
2018-03-25,1643,1483.0,3
2018-04-01,1504,1643.0,4
2018-04-08,1995,1504.0,4
2018-04-15,1963,1995.0,4
2018-04-22,1709,1963.0,4
2018-04-29,1793,1709.0,4
2018-05-06,1711,1793.0,5
2018-05-13,1923,1711.0,5
2018-05-20,2073,1923.0,5
2018-05-27,1494,2073.0,5
2018-06-03,634,1494.0,6
2018-06-10,1772,634.0,6
2018-06-17,1514,1772.0,6
2018-06-24,1678,1514.0,6
2018-07-01,1536,1678.0,7
2018-07-08,1414,1536.0,7
2018-07-15,1482,1414.0,7
2018-07-22,367,1482.0,7
2018-07-29,1840,367.0,7
2018-08-05,1697,1840.0,8
2018-08-12,1778,1697.0,8
2018-08-19,2021,1778.0,8
2018-08-26,1944,2021.0,8
2018-09-02,1607,1944.0,9
2018-09-09,28,1607.0,9
2018-09-16,10,28.0,9
2018-09-23,10,10.0,9
2018-09-30,2,10.0,9
2018-10-07,1,2.0,10
2018-10-14,1,1.0,10
2018-10-21,1,1.0,10
